Magnitude,Location,Latitude,Longitude
1.47,"2 km E of Pleasant Hill, CA",37.95,-122.04
1.57,"23 km NW of Grapevine, CA",35.0888333,-119.114
1.74,"21 km NW of Grapevine, CA",35.0981667,-119.0613333
5.1,"67 km WSW of Atocha, Bolivia",-21.1988,-66.8096
2.34,"22 km NW of Grapevine, CA",35.0868333,-119.0983333
3.16,"22 km NW of Grapevine, CA",35.1031685,-119.0735016
1.16,"19 km NW of Grapevine, CA",35.0806667,-119.061
4.5,"31 km SSE of Jurm, Afghanistan",36.5915,70.919
2,"24 km ENE of Maricopa, CA",35.113,-119.1401667
1.76,"9 km SW of Anza, CA",33.5041667,-116.7526667
1.1,"5 km N of Yucca Valley, CA",34.1581667,-116.4355
0.99,"5 km N of Yucca Valley, CA",34.1575,-116.4358333
1.11,"22 km NW of Grapevine, CA",35.0951667,-119.0921667
1.71,"21 km NW of Grapevine, CA",35.0808333,-119.087
0.94,"9 km NW of The Geysers, CA",38.82,-122.84
0.8,"5 km S of Salcha, Alaska",64.4761,-146.907
1.48,"7 km WNW of Cobb, CA",38.83,-122.81
1.97,"22 km NW of Grapevine, CA",35.1035,-119.0613333
3.04,"21 km NW of Grapevine, CA",35.097168,-119.0589981
1,"46 km ESE of Knik River, Alaska",61.3688,-148.0659
1.26,"9 km SW of Waynoka, Oklahoma",36.529,-98.96516667
1.33,"24 km NW of Grapevine, CA",35.101,-119.1031667
1.47,"22 km NW of Grapevine, CA",35.0821667,-119.0983333
1.1,"5 km WNW of Cobb, CA",38.83,-122.78
1.51,"25 km SW of Lamont, CA",35.1165,-119.1313333
1.36,"9 km W of Palomar Observatory, CA",33.3675,-116.9645
0.53,"32 km N of Ivanof Bay, Alaska",56.1871666666667,-159.409333333333
1.3,"55 km E of Cantwell, Alaska",63.3753,-147.8457
2.1,"24 km ENE of Maricopa, CA",35.1051667,-119.1455
0.32,"4 km NNW of The Geysers, CA",38.81,-122.78
2.14,"25 km SW of Lamont, CA",35.1086667,-119.1183333
3.78,"25 km NW of Grapevine, CA",35.1018333,-119.1181667
1.55,"20 km NW of Grapevine, CA",35.0713333,-119.0785
1.57,"23 km NW of Grapevine, CA",35.0891667,-119.1035
1.61,"23 km NW of Grapevine, CA",35.0891667,-119.1063333
2.1,"25 km ENE of Susitna North, Alaska",62.2708,-149.4203
1.44,"25 km ENE of Maricopa, CA",35.1031667,-119.1285
2.21,"22 km SW of Lamont, CA",35.1128333,-119.085
1.06,"3 km WNW of Cobb, CA",38.82,-122.76
1.36,"20 km NW of Grapevine, CA",35.0805,-119.0653333
2.89,"6 km S of Volcano, Hawaii",19.3881666666667,-155.243166666667
2.2,"24 km ENE of Cantwell, Alaska",63.4651,-148.4874
0.92,"9 km W of Palomar Observatory, CA",33.3655,-116.9608333
2.51,"5 km SSW of Volcano, Hawaii",19.3936666666667,-155.250833333333
2.79,"5 km SSW of Volcano, Hawaii",19.391,-155.2495
1.04,"6 km SSW of Volcano, Hawaii",19.3925,-155.256833333333
1.62,"15 km NW of Coso Junction, CA",36.1495,-118.0543333
3.15,"25 km E of Maricopa, CA",35.0975,-119.131
1.3,"24 km NW of Grapevine, CA",35.0896667,-119.121
1.74,"24 km ENE of Maricopa, CA",35.102,-119.1448333
1.5,"4 km W of Trapper Creek, Alaska",62.3221,-150.3212
2.39,"5 km SW of Volcano, Hawaii",19.4001666666667,-155.264
1.59,"15 km SSW of Olancha, CA",36.1526667,-118.0541667
1.4,"20 km NW of Grapevine, CA",35.0896667,-119.0576667
1.45,"23 km SW of Lamont, CA",35.1096667,-119.0941667
1.61,"20 km NNW of Grapevine, CA",35.0953333,-119.053
1.5,"52 km WNW of Ninilchik, Alaska",60.2768,-152.5054
1.8,"68 km W of Karluk, Alaska",57.4653,-155.5786
1.33,"2 km SE of Home Gardens, CA",33.8628349,-117.5078354
1.72,"20 km NW of Grapevine, CA",35.0801667,-119.081
1.6,"53 km SSE of Denali National Park, Alaska",63.0868,-151.3498
1.27,"22 km SW of Lamont, CA",35.1181667,-119.084
2.19,"22 km SW of Lamont, CA",35.1145,-119.0793333
2.84,"43 km NNE of Vieques, Puerto Rico",18.7516666666667,-65.6095
1.94,"22 km NW of Grapevine, CA",35.0916667,-119.0913333
1.86,"22 km NW of Grapevine, CA",35.0798333,-119.1005
1.99,"22 km NW of Grapevine, CA",35.0851667,-119.1015
2.7,"21 km NW of Grapevine, CA",35.0831667,-119.0845
1.58,"21 km NW of Grapevine, CA",35.0758333,-119.0951667
0.72,"7 km WNW of Cobb, CA",38.84,-122.8
1.57,"20 km NW of Grapevine, CA",35.0719986,-119.0806656
2.1,"20 km N of Four Mile Road, Alaska",64.7862,-149.2001
0.06,"27 km W of Dutch Harbor, Alaska",53.8735,-166.965
-0.51,"7 km WSW of Dutch Harbor, Alaska",53.8726666666667,-166.650666666667
1.87,"5 km SSW of Volcano, Hawaii",19.3921661376953,-155.245666503906
0.1,"52 km ESE of Beatty, Nevada",36.6546,-116.2691
1.52,"24 km SW of Lamont, CA",35.1146667,-119.114
2.12,"22 km E of Maricopa, CA",35.0916667,-119.1571667
1.71,"6 km S of Volcano, Hawaii",19.3846664428711,-155.241165161133
3,"54 km SSE of Ivanof Bay, Alaska",55.4255,-159.2898
0.8,"32 km SW of Empire, Nevada",40.3644,-119.6125
1.02,"18 km ESE of Julian, CA",33.0188333,-116.4256667
1.6,"13 km NNW of Avenal, CA",36.1,-120.21
1.44,"21 km NW of Grapevine, CA",35.0825,-119.0893333
0.04,"38 km S of Morton, Washington",46.2135,-122.18433333333333
1.44,"23 km E of Maricopa, CA",35.0931667,-119.1495
2.3900001,"3 km SSW of Pāhala, Hawaii",19.171667098999,-155.496826171875
1.75,"24 km E of Maricopa, CA",35.0926667,-119.1461667
1.55,"24 km ENE of Maricopa, CA",35.1101667,-119.1396667
0.67,"14 km NE of Milford, Utah",38.4945,-112.898833333333
1.72,"24 km E of Maricopa, CA",35.093,-119.138
1.88,"6 km SSW of Volcano, Hawaii",19.3871669769287,-155.251998901367
1.6,"53 km NW of Toyah, Texas",31.661,-104.178
1.71,"24 km E of Maricopa, CA",35.0798333,-119.1423333
0.12,"38 km NNE of Amboy, Washington",46.2055,-122.193
1.39,"7 km NE of Coso Junction, CA",36.0895,-117.8893333
1.48,"21 km NW of Grapevine, CA",35.084,-119.08
1.55,"24 km NW of Grapevine, CA",35.1035,-119.1113333
3.24,"24 km NW of Grapevine, CA",35.096,-119.1113333
2.85,"23 km NW of Grapevine, CA",35.0853333,-119.1113333
4.1,"17 km SW of Pýrgos, Greece",34.8916,25.0166
1.51,"22 km NW of Grapevine, CA",35.089,-119.0928333
1.74,"14 km SSW of Dover, Idaho",48.12116666666667,-116.65383333333334
1.52,"16 km ESE of Seven Trees, CA",37.28,-121.66
2.03,"19 km ESE of Naalehu, Hawaii",18.9775,-155.421333333333
1.47,"22 km NW of Grapevine, CA",35.0935,-119.079
2.33,"22 km NW of Grapevine, CA",35.0793333,-119.0983333
-0.8,"22 km W of Sitka, Alaska",57.0705,-135.7075
1.5,"25 km SW of Lamont, CA",35.1106667,-119.126
1.88,"6 km SSW of Volcano, Hawaii",19.386833190918,-155.248504638672
1.75,"6 km S of Volcano, Hawaii",19.382833480835,-155.241500854492
1.84,"4 km SE of Home Gardens, CA",33.8496667,-117.4935
1.86,"6 km SSW of Volcano, Hawaii",19.3863334655762,-155.251998901367
2.36,"6 km SSW of Volcano, Hawaii",19.386,-155.246333333333
1.03,"10 km N of Borrego Springs, CA",33.3498333,-116.3646667
0.63,"9 km WNW of Cobb, CA",38.84,-122.83
2.03,"20 km NW of Grapevine, CA",35.0771667,-119.0838333
1.6,"25 km NW of Grapevine, CA",35.1005,-119.1195
1.13,"11 km ESE of Olancha, CA",36.2271667,-117.8975
1.46,"24 km NW of Grapevine, CA",35.0976667,-119.117
0.75,"4 km NNW of The Geysers, CA",38.8,-122.78
1.8,"9 km E of Coahoma, Texas",32.305,-101.201
3.13,"24 km NW of Grapevine, CA",35.0936661,-119.1139984
2.14,"6 km WNW of Borrego Springs, CA",33.2673333,-116.4356667
0.68,"18 km ESE of Little Lake, CA",35.8725,-117.7241667
0.78,"7 km NW of The Geysers, CA",38.8,-122.82
1.58,"22 km ENE of Maricopa, CA",35.1311667,-119.1806667
1.53,"24 km NW of Grapevine, CA",35.0986671,-119.1128311
0.6,"36 km ENE of Herlong, California",40.2568,-119.7384
0.92,"18 km ESE of Little Lake, CA",35.872,-117.7235
1.7,"55 km WNW of Happy Valley, Alaska",60.0849,-152.685
1.83,"23 km NW of Grapevine, CA",35.0938333,-119.1006667
0.6,"27 km SSW of Empire, Nevada",40.3506,-119.4739
-0.57,"27 km W of Sitka, Alaska",57.047,-135.789333333333
1.4,"21 km NW of Grapevine, CA",35.0763333,-119.0885
1.72000003,"7 km SSW of Volcano, Hawaii",19.3811664581299,-155.260665893555
2,"9 km N of Airway Heights, Washington",47.7305,-117.6135
1.51,"21 km NW of Grapevine, CA",35.0715,-119.0963333
1.49,"21 km NW of Grapevine, CA",35.081,-119.0865
4.3,"27 km NNW of La Serena, Chile",-29.6757,-71.3543
2.7,"139 km SSE of Sand Point, Alaska",54.1529,-159.7854
1.98000002,"12 km S of Volcano, Hawaii",19.3295001983643,-155.239166259766
2.19,"25 km NW of Grapevine, CA",35.1036667,-119.124
1.48,"21 km NW of Grapevine, CA",35.0843333,-119.0885
1.76,"71 km W of Yachats, Oregon",44.38316666666667,-125.00133333333333
1.24,"20 km NW of Grapevine, CA",35.0813333,-119.0793333
1.73,"25 km NW of Grapevine, CA",35.104,-119.1245
1.38,"24 km E of Maricopa, CA",35.0968333,-119.1371667
1.8,"5 km SSW of Volcano, Hawaii",19.3938331604004,-155.252670288086
2.83,"9 km SSE of Pāhala, Hawaii",19.1231670379639,-155.456161499023
1.54,"3 km SSW of Pāhala, Hawaii",19.1801666666667,-155.4945
1.5,"5 km WSW of Four Mile Road, Alaska",64.5805,-149.2184
3.1,"218 km SE of Chiniak, Alaska",56.1551,-149.8813
1.88,"6 km SSW of Volcano, Hawaii",19.3834991455078,-155.255004882812
1.77999997,"7 km SSW of Volcano, Hawaii",19.3799991607666,-155.258331298828
2.48,"24 km NW of Grapevine, CA",35.1038333,-119.105
1.7,"93 km NW of Yakutat, Alaska",60.0228,-141.0972
1.71,"25 km E of Maricopa, CA",35.1001667,-119.13
1.5,"25 km ENE of Maricopa, CA",35.106,-119.1371667
1.41,"8 km SW of Chelan Falls, Washington",47.74816666666667,-120.0705
1.6400000000000001,"5 km WNW of Highland, Washington",46.14683333333333,-119.18733333333333
1.54,"25 km SW of Lamont, CA",35.1183333,-119.1283333
4.9,"110 km NE of Hihifo, Tonga",-15.22,-173.0928
1.2,"50 km SSE of Denali National Park, Alaska",63.1223,-151.3368
1.63,"24 km NW of Grapevine, CA",35.0861667,-119.1298333
1.81,"7 km SSE of Volcano, Hawaii",19.3759994506836,-155.218505859375
1.51,"22 km NW of Grapevine, CA",35.0905,-119.0895
4.7,Fiji region,-21.8156,-178.3006
1.42,"20 km NW of Grapevine, CA",35.0801667,-119.0801667
2.06,"23 km SW of Lamont, CA",35.1085,-119.085
1.93,"23 km NW of Grapevine, CA",35.1041667,-119.0846667
1.73,"20 km NW of Grapevine, CA",35.0845,-119.0578333
2.4,"163 km SE of Perryville, Alaska",54.8413,-157.3672
1.19,"34 km SSW of False Pass, Alaska",54.5543333333333,-163.531833333333
1.24,"15 km NW of Coso Junction, CA",36.1441667,-118.0546667
1.96,"24 km NW of Grapevine, CA",35.1031667,-119.1036667
1.82,"23 km SW of Lamont, CA",35.1083333,-119.0868333
1.49,"25 km NW of Grapevine, CA",35.1055,-119.1158333
2.41,"24 km E of Maricopa, CA",35.0953333,-119.1453333
1.5,"35 km NW of Toyah, Texas",31.568,-104.025
3.3,"21 km NW of Grapevine, CA",35.0798333,-119.096
1.8,"21 km NNE of Pilot Point, Alaska",57.7231,-157.3879
1.5,"24 km NW of Grapevine, CA",35.0975,-119.1225
2,"24 km NW of Grapevine, CA",35.1001667,-119.1156667
0.02,"151 km W of Adak, Alaska",51.774,-178.818833333333
-0.53,"26 km W of Dutch Harbor, Alaska",53.8846666666667,-166.945
2.2,"100 km SW of Atka, Alaska",51.5693,-175.2487
1.76,"22 km NW of Grapevine, CA",35.0936667,-119.0903333
-0.2,"83 km NNW of Karluk, Alaska",58.2856666666667,-154.845666666667
1.82000005,"9 km SE of Volcano, Hawaii",19.3721675872803,-155.182327270508
2.57,"25 km ENE of Maricopa, CA",35.107,-119.1278333
0.82,"89 km W of Adak, Alaska",51.8645,-177.927833333333
1.8,"11 km N of Skwentna, Alaska",62.095,-151.3739
1.86,"21 km NW of Grapevine, CA",35.0813333,-119.094
1.94,"21 km NW of Grapevine, CA",35.0791667,-119.0931667
1.48,"22 km SW of Lamont, CA",35.1218333,-119.0875
1.53,"24 km NW of Grapevine, CA",35.106,-119.1116667
1.73,"22 km NW of Grapevine, CA",35.0921667,-119.0846667
1.28,"22 km NW of Grapevine, CA",35.0811667,-119.0995
1.76,"24 km E of Maricopa, CA",35.0951667,-119.1371667
3.4,"9 km N of Stonewall, Oklahoma",34.74066667,-96.519
2.35,"24 km NW of Grapevine, CA",35.0995,-119.1075
1.4,"24 km SSW of Susitna, Alaska",61.3365,-150.6531
1.09,"11 km W of Corona, CA",33.8873333,-117.684
-0.84,"22 km W of Sitka, Alaska",57.0681666666667,-135.704333333333
1.55,"25 km ENE of Maricopa, CA",35.1035,-119.1361667
1.81,"25 km NW of Grapevine, CA",35.1075,-119.1183333
-0.38,"70 km NNE of Chignik, Alaska",56.9173333333333,-158.164
1.45,"17 km N of Pine Mountain Club, CA",35.0006667,-119.1456667
5.1,"44 km SW of Masachapa, Nicaragua",11.539,-86.8399
2.41,"7 km E of Puebla, B.C., MX",32.5648333,-115.2833333
4.3,"33 km WSW of Masachapa, Nicaragua",11.6452,-86.7876
3.3,"23 km NW of Grapevine, CA",35.093,-119.1081667
2.29,"7 km E of Puebla, B.C., MX",32.5676667,-115.28
2.12,"24 km E of Maricopa, CA",35.1001667,-119.1375
2.84,"21 km NW of Grapevine, CA",35.089,-119.0816667
1.4,"27 km NNE of Montecito, CA",34.6658333,-119.54
1.39,"19 km NW of Grapevine, CA",35.079834,-119.0561676
0.92,"1 km E of Loma Linda, CA",34.047,-117.25
2.1,"10 km E of Susitna North, Alaska",62.1544,-149.6503
3.8,"293 km SSW of Nikolski, Alaska",50.4982,-170.4708
1.56,"22 km NW of Grapevine, CA",35.0913333,-119.0975
1.5,"4 km ENE of Topaz, California",38.6315,-119.4762
1.89,"23 km NW of Grapevine, CA",35.0996667,-119.0946667
1.53,"22 km NW of Grapevine, CA",35.0883333,-119.088
1.3,"75 km WNW of Nikiski, Alaska",60.8946,-152.6063
2.36,"24 km NW of Grapevine, CA",35.1001667,-119.1055
1.99,"20 km NW of Grapevine, CA",35.0756667,-119.0863333
2.83,"12 km  of Walker, CA",38.62,-119.51
-0.58,"13 km NE of Milford, Utah",38.4876666666667,-112.903333333333
2.1099999,"10 km SSE of Pāhala, Hawaii",19.1084995269775,-155.448669433594
1.43,"24 km NW of Grapevine, CA",35.0973333,-119.1061667
1.27,"24 km NW of Grapevine, CA",35.0981667,-119.1123333
0.51,"19 km ESE of Anza, CA",33.4701667,-116.4981667
1.6,"71 km ENE of Chase, Alaska",62.747,-148.8644
1.2,"23 km NW of Grapevine, CA",35.0891667,-119.1063333
1.41,"25 km SW of Lamont, CA",35.116,-119.1211667
0.32,"81 km NNW of Karluk, Alaska",58.2526666666667,-154.944
1.95,"25 km SW of Lamont, CA",35.109,-119.1201667
1.76,"24 km SW of Lamont, CA",35.1186667,-119.1078333
1.77,"24 km NW of Grapevine, CA",35.101,-119.104
1.35,"24 km ENE of Maricopa, CA",35.1025,-119.1381667
1.53,"23 km NW of Grapevine, CA",35.0966667,-119.1035
2.1,"21 km NW of Grapevine, CA",35.079,-119.0853333
1.52,"24 km ENE of Maricopa, CA",35.1033333,-119.1423333
3.64,"25 km SW of Lamont, CA",35.1103333,-119.1221667
1.73,"26 km NW of Grapevine, CA",35.1078333,-119.1255
1.25,"25 km NW of Grapevine, CA",35.1006667,-119.1211667
1.7,"24 km NW of Grapevine, CA",35.0965,-119.1176667
1.33,"20 km SW of Lamont, CA",35.1396667,-119.0815
1.31,"24 km E of Maricopa, CA",35.0965,-119.1383333
0.92,"22 km ESE of Little Lake, CA",35.872,-117.6758333
1.84,"21 km ENE of Maricopa, CA",35.1105,-119.183
1.85,"24 km NW of Grapevine, CA",35.1043333,-119.1066667
1.7,"33 km W of Beaver, Alaska",66.3521,-148.1475
1.47,"12 km SW of Salton City, CA",33.225,-116.0436667
1.21,"24 km NW of Grapevine, CA",35.1066667,-119.1071667
1.46,"25 km SW of Lamont, CA",35.1205,-119.1253333
2.08,"24 km NW of Grapevine, CA",35.0985,-119.1155
0.26,"149 km W of Adak, Alaska",51.712,-178.789333333333
2.2,"21 km NNW of Grapevine, CA",35.0985,-119.0531667
1.46,"21 km NW of Grapevine, CA",35.0946667,-119.0645
2.1,"30 km NW of Toyah, Texas",31.501,-104.029
0.57,"13 km NE of Milford, Utah",38.4888333333333,-112.903666666667
0.22,"14 km NE of Milford, Utah",38.4913333333333,-112.901333333333
1.97,"7 km S of Volcano, Hawaii",19.3793333333333,-155.24
2.96,"21 km NW of Grapevine, CA",35.0866667,-119.0836667
1.16,"24 km NW of Grapevine, CA",35.096,-119.1123333
1.5,"58 km N of Petersville, Alaska",63.0103,-150.5547
4.3,"Pagan region, Northern Mariana Islands",18.295,145.2847
1.51,"7 km SE of Katie, Oklahoma",34.531,-97.292
1.83,"25 km NW of Grapevine, CA",35.103,-119.1218333
1.68,"24 km ENE of Maricopa, CA",35.1011667,-119.1418333
1.2,"16 km ESE of Fernley, Nevada",39.5757,-119.0672
1.94,"25 km NW of Grapevine, CA",35.1006667,-119.1261667
2.17000008,"3 km W of Pāhala, Hawaii",19.1979999542236,-155.509338378906
